track_name,track_artist,track_album_release_date,playlist_genre
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,6/14/19,pop
Memories - Dillon Francis Remix,Maroon 5,12/13/19,pop
All the Time - Don Diablo Remix,Zara Larsson,7/5/19,pop
Call You Mine - Keanu Silva Remix,The Chainsmokers,7/19/19,pop
Someone You Loved - Future Humans Remix,Lewis Capaldi,3/5/19,pop
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,7/11/19,pop
Never Really Over - R3HAB Remix,Katy Perry,7/26/19,pop
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,8/29/19,pop
Tough Love - Tiësto Remix / Radio Edit,Avicii,6/14/19,pop
If I Can't Have You - Gryffin Remix,Shawn Mendes,6/20/19,pop
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,6/21/19,pop
Hate Me - R3HAB Remix,Ellie Goulding,8/16/19,pop
Body On My,Loud Luxury,3/29/19,pop
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,5/17/19,pop
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,7/12/19,pop
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,12/11/19,pop
All My Friends - Eden Prince Remix,AJ Mitchell,5/3/19,pop
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,12/28/18,pop
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,3/8/19,pop
Let It Be Me - Sondr Remix,Steve Aoki,10/18/19,pop
Heaven - David Guetta & MORTEN Remix,Avicii,8/23/19,pop
All Around The World (La La La) - Marnik Remix,R3HAB,8/23/19,pop
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,5/8/19,pop
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,10/25/19,pop
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,5/24/19,pop
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,6/21/19,pop
One Thing Right - Firebeatz Remix,Marshmello,8/9/19,pop
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,2/1/19,pop
So Am I - Toby Green Remix,Ava Max,5/23/19,pop
When You Leave - Breathe Carolina Remix,Nikki Vianna,4/19/19,pop
Mother - Fedde Le Grand Remix,Charlie Puth,11/1/19,pop
Signs - Eden Prince Remix,Starley,11/30/18,pop
Ruin My Life - Steve James Remix,Zara Larsson,11/23/18,pop
Torn - KREAM Remix,Ava Max,9/5/19,pop
Quite Miss Home - Steve Void Remix,James Arthur,11/22/19,pop
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,6/21/19,pop
Happier - Matt Medved Remix,Marshmello,11/30/18,pop
Side Effects - Fedde Le Grand Remix,The Chainsmokers,7/25/18,pop
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,7/12/19,pop
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,6/27/19,pop
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,10/25/19,pop
Higher Love,Kygo,6/28/19,pop
Unlove You,Armin van Buuren,10/18/19,pop
bad guy (with Justin Bieber),Billie Eilish,7/11/19,pop
Freaking Me Out - Keanu Silva Remix,Ava Max,11/1/19,pop
Heaven Can Wait - The Aston Shuffle Remix,Sia,5/24/19,pop
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,10/25/19,pop
Gone - The Wild Remix,Charli XCX,8/9/19,pop
American Boy - Brooks Remix,Estelle,6/14/19,pop
Million Pieces - M-22 Remix,Bastille,9/27/19,pop
joy. (R3HAB Remix),for KING & COUNTRY,1/25/19,pop
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,11/12/19,pop
Old Town Road - Diplo Remix,Lil Nas X,4/29/19,pop
Lovers + Strangers - GATTÜSO Remix,Starley,11/15/19,pop
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,10/19/18,pop
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,12/12/19,pop
What Am I - SONDR Remix,Why Don't We,11/1/19,pop
Cool Kids,Olympis,11/1/19,pop
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,8/9/19,pop
All Star - Breathe Carolina Remix,Smash Mouth,8/23/19,pop
Trampoline - Dave Audé Remix,SHAED,12/27/19,pop
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,7/11/19,pop
With You - Dexter Remix,Kaskade,9/12/19,pop
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,11/15/19,pop
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,9/28/18,pop
Talk - Disclosure VIP,Khalid,3/27/19,pop
Spicy - Majestic Remix,Herve Pagez,10/11/19,pop
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,10/4/19,pop
Treehouse - R3HAB Remix,James Arthur,9/13/19,pop
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,2/9/18,pop
Call You Mine,The Chainsmokers,5/31/19,pop
Post Malone (feat. RANI),Sam Feldt,5/24/19,pop
Here With Me,Marshmello,3/8/19,pop
Easier - Seeb Remix,5 Seconds of Summer,7/12/19,pop
Sixteen,Ellie Goulding,4/12/19,pop
Never Really Over,Katy Perry,5/31/19,pop
All You Need To Know (feat. Calle Lehmann),Gryffin,3/27/19,pop
I Miss Myself (with HRVY),NOTD,5/3/19,pop
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,10/4/19,pop
Takeaway (feat. Lennon Stella),The Chainsmokers,7/24/19,pop
All the Time,Zara Larsson,6/21/19,pop
What I Like About You (feat. Theresa Rex),Jonas Blue,3/22/19,pop
With You,Kaskade,6/14/19,pop
Body Back (feat. Maia Wright),Gryffin,10/18/19,pop
Not Ok,Kygo,5/23/19,pop
Ruin My Life,Zara Larsson,10/18/18,pop
I Wanna Know (feat. Bea Miller),NOTD,3/16/18,pop
Better With You,3LAU,3/1/19,pop
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,4/19/19,pop
Polaroid,Jonas Blue,11/9/18,pop
Lost In Japan - Remix,Shawn Mendes,9/27/18,pop
In Your Arms (with X Ambassadors),ILLENIUM,8/16/19,pop
I'm Not Alright,Loud Luxury,7/12/19,pop
SOS,Avicii,4/10/19,pop
Harder,Jax Jones,7/12/19,pop
The Middle,Zedd,1/23/18,pop
Wanted,NOTD,9/27/19,pop
Crash Into Me,Steve Aoki,7/12/19,pop
Need Your Love (with Noah Kahan),Gryffin,10/24/19,pop
Good Things Fall Apart (with Jon Bellion),ILLENIUM,5/13/19,pop
Don't Call Me Up,Mabel,1/18/19,pop
Nostalgic,A R I Z O N A,6/18/19,pop
Let It Be Me,Steve Aoki,9/6/19,pop
Lovers + Strangers,Starley,10/11/19,pop
Sad Song (feat. TINI),Alesso,6/14/19,pop
Sleepless Nights,ayokay,8/31/18,pop
Save Me Tonight,ARTY,1/25/19,pop
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,3/2/17,pop
